City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
632,Guane,CU,80.82,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
634,Palmas Bellas,PA,89.51,scattered clouds,9.2319,-80.0867,Estación de Chagres
635,Sarangani,PH,81.32,broken clouds,5.4033,125.4636,Ballistic Islet
639,Bandarbeyla,SO,76.03,broken clouds,9.4942,50.8122,JABIR HOTEL
640,Cayenne,GF,82.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
642,Bambanglipuro,ID,76.35,overcast clouds,-7.95,110.2833,Puri Brata
646,Ilorin,NG,91.76,haze,8.5,4.55,Ayala Suite Annex
649,Batouri,CM,85.12,scattered clouds,4.4333,14.3667,Hotel Hollywood
655,Nova Olimpia,BR,85.32,overcast clouds,-14.7972,-57.2881,Motel glamour
657,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
659,Christiana,ZA,77.47,broken clouds,-27.914,25.1611,At-Neli Guesthouse
663,Venice,US,72.0,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
664,Waingapu,ID,79.47,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
673,Pacocha,PE,73.71,overcast clouds,-17.5833,-71.3333,terrenos en venta
675,Rantauprapat,ID,73.87,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
680,Phibun Mangsahan,TH,75.18,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
